SourceID,all_site,min_site_eachYear,n_years,duration,cent_latitude,cent_longitude
1,45,27,3,15,41.97730351777778,2.2085189555555553
2,38,38,2,11,-20.38034842105263,-50.36889868421053
4,37,30,11,12,46.757040810810814,17.25713243243243
5,8,8,21,22,39.8351075,-86.92465250000001
6,125,69,16,16,-27.44175136,152.8165552
7,228,51,16,19,62.36187622807017,26.091645131578947
8,5,5,6,10,48.886222,-64.442166
9,4,4,9,11,38.457375,-96.567075
10,6,5,28,31,33.302548333333334,-108.47503333333333
11,6,5,16,18,33.29700666666667,-108.47794999999999
14,30,13,14,16,43.080512666666664,141.23906666666667
15,132,37,5,17,42.37927356060606,-92.75032666666667
16,40,26,2,18,45.691292775,12.0315874
17,4,4,12,12,8.8664175,-5.49968475
18,8,4,6,12,34.541996250000004,-95.188185
21,27,24,26,26,41.23108,-90.58906074074073
20,39,13,15,19,35.166378461538464,-83.40710358974358
23,55,23,8,15,-32.726203636363635,146.26276181818181
24,32,14,3,11,45.961051562499996,-93.573829375
25,71,11,12,21,46.966357464788736,-113.07682535211268
26,65,19,11,14,40.358806,-97.721638
27,3786,545,24,26,52.639657229265715,-2.1387343925034337
28,154,33,7,21,35.85033045454546,-80.40757850649351
29,5,5,3,11,-19.230486,-47.00076
30,19,16,15,16,35.372473684210526,-97.6102105263158
32,848,227,24,24,47.076960448113205,3.312846543251179
34,97,55,17,17,43.13563824742268,-2.5600089896907217
36,11,8,20,27,33.50421272727273,-104.33222727272727
37,22,22,2,14,-29.57496181818182,-50.26146045454546
38,4,4,8,19,38.7971,-122.381525
39,55,47,5,13,43.85313636363637,-79.21273818181818
42,2884,487,30,30,60.05687993411928,15.429221588072123
41,6,6,11,11,32.01716833333334,-110.26718333333334
43,8,6,17,17,41.72123625,2.4265858750000002
45,7,7,12,14,34.884272857142854,-112.2515
46,196,41,7,12,50.95170816326531,4.8240476020408165
